1786721179	60.0
1786721209	68.0
1786721240	85.0
1786721270	89.0
1786721300	88.0
1786721330	66.0
1786721360	87.0
1786721390	80.0
1786721420	84.0
1786721450	86.0
1786721480	83.0
1786721510	88.0
1786721540	88.0
1786721570	88.0
1786721600	85.0
1786721630	64.0
1786721660	85.0
1786721690	85.0
1786721720	87.0
1786721750	71.0
1786721780	82.0
1786721810	89.0
1786721840	82.0
1786721870	68.0
1786721900	75.0
1786721930	69.0
1786721960	85.0
1786721990	71.0
1786722020	86.0
1786722050	90.0
1786722080	69.0
1786722110	69.0
1786722140	74.0
1786722170	69.0
1786722200	84.0
1786722230	81.0
1786722260	72.0
1786722290	63.0
1786722320	62.0
1786722350	81.0
1786722380	85.0
1786722410	92.0
1786722440	65.0
1786722470	68.0
1786722500	78.0
1786722530	83.0
1786722560	85.0
1786722590	85.0
1786722620	87.0
1786722650	87.0
1786722680	84.0
1786722710	79.0
1786722740	63.0
1786722770	81.0
1786722800	87.0
1786722830	89.0
1786722860	71.0
1786722890	71.0
1786722920	77.0
1786722950	69.0
1786722980	86.0
1786723010	73.0
1786723040	67.0
1786723070	72.0
1786723100	73.0
1786723130	67.0
1786723160	80.0
1786723190	74.0
1786723220	70.0
1786723250	89.0
1786723280	69.0
1786723310	72.0
1786723340	74.0
1786723370	67.0
1786723400	75.0
1786723430	79.0
1786723460	76.0
1786723490	81.0
1786723520	88.0
1786723550	67.0
1786723580	82.0
1786723610	63.0
1786723640	82.0
1786723670	84.0
1786723700	86.0
1786723730	87.0
1786723760	88.0
1786723790	86.0
1786723820	67.0
1786723850	64.0
1786723880	83.0
1786723910	88.0
1786723940	79.0
1786723971	72.0
1786724001	71.0
1786724031	81.0
1786724061	70.0
1786724091	70.0
1786724121	76.0
1786724151	68.0
1786724181	74.0
1786724211	71.0
1786724241	68.0
1786724271	74.0
1786724301	86.0
1786724331	70.0
1786724361	69.0
1786724391	69.0
1786724421	73.0
1786724451	87.0
1786724481	74.0
1786724511	66.0
1786724541	83.0
1786724571	77.0
1786724601	85.0
1786724631	90.0
1786724661	67.0
1786724691	82.0
1786724721	64.0
1786724751	82.0
1786724781	85.0
1786724811	82.0
1786724841	87.0
