1786608645	57.0	0: 1000Mhz *
1786608665	73.0	1: 1500Mhz *
1786608685	75.0	1: 1500Mhz *
1786608705	80.0	1: 1500Mhz *
1786608725	77.0	1: 1500Mhz *
1786608745	66.0	0: 1000Mhz *
1786608765	91.0	1: 1500Mhz *
1786608785	71.0	0: 1000Mhz *
1786608805	68.0	0: 1000Mhz *
1786608825	67.0	0: 1000Mhz *
1786608845	87.0	1: 1500Mhz *
1786608865	73.0	1: 1500Mhz *
1786608885	72.0	1: 1500Mhz *
1786608905	68.0	0: 1000Mhz *
1786608925	74.0	1: 1500Mhz *
1786608945	74.0	1: 1500Mhz *
1786608965	67.0	0: 1000Mhz *
1786608985	68.0	0: 1000Mhz *
1786609005	83.0	1: 1500Mhz *
1786609025	81.0	1: 1500Mhz *
1786609045	68.0	0: 1000Mhz *
1786609065	85.0	1: 1500Mhz *
1786609085	66.0	0: 1000Mhz *
1786609105	87.0	1: 1500Mhz *
1786609125	69.0	0: 1000Mhz *
1786609145	86.0	1: 1500Mhz *
1786609165	67.0	0: 1000Mhz *
1786609185	73.0	1: 1500Mhz *
1786609205	68.0	0: 1000Mhz *
1786609225	68.0	0: 1000Mhz *
1786609245	69.0	1: 1500Mhz *
1786609265	86.0	1: 1500Mhz *
1786609285	69.0	0: 1000Mhz *
1786609305	66.0	0: 1000Mhz *
1786609325	69.0	1: 1500Mhz *
1786609345	75.0	1: 1500Mhz *
1786609365	78.0	1: 1500Mhz *
1786609385	79.0	1: 1500Mhz *
1786609405	72.0	0: 1000Mhz *
1786609425	80.0	1: 1500Mhz *
1786609445	89.0	1: 1500Mhz *
1786609465	90.0	1: 1500Mhz *
1786609485	79.0	1: 1500Mhz *
1786609505	70.0	0: 1000Mhz *
1786609525	77.0	1: 1500Mhz *
1786609545	74.0	1: 1500Mhz *
1786609566	68.0	0: 1000Mhz *
1786609586	70.0	0: 1000Mhz *
1786609606	84.0	1: 1500Mhz *
1786609626	87.0	1: 1500Mhz *
1786609646	68.0	0: 1000Mhz *
1786609666	68.0	0: 1000Mhz *
1786609686	70.0	1: 1500Mhz *
1786609706	86.0	1: 1500Mhz *
1786609726	68.0	0: 1000Mhz *
1786609746	68.0	0: 1000Mhz *
1786609766	70.0	1: 1500Mhz *
1786609786	74.0	1: 1500Mhz *
1786609806	69.0	0: 1000Mhz *
1786609826	72.0	1: 1500Mhz *
1786609846	67.0	0: 1000Mhz *
1786609866	85.0	1: 1500Mhz *
1786609886	69.0	0: 1000Mhz *
1786609906	73.0	1: 1500Mhz *
1786609926	67.0	0: 1000Mhz *
1786609946	74.0	1: 1500Mhz *
1786609966	68.0	0: 1000Mhz *
1786609986	81.0	1: 1500Mhz *
1786610006	66.0	0: 1000Mhz *
1786610026	74.0	1: 1500Mhz *
1786610046	77.0	1: 1500Mhz *
1786610066	80.0	1: 1500Mhz *
1786610086	68.0	0: 1000Mhz *
1786610106	77.0	1: 1500Mhz *
1786610126	88.0	1: 1500Mhz *
1786610146	72.0	0: 1000Mhz *
1786610166	70.0	0: 1000Mhz *
1786610186	69.0	0: 1000Mhz *
1786610206	81.0	1: 1500Mhz *
1786610226	87.0	1: 1500Mhz *
1786610246	68.0	0: 1000Mhz *
1786610266	81.0	1: 1500Mhz *
1786610286	66.0	0: 1000Mhz *
1786610306	90.0	1: 1500Mhz *
1786610326	69.0	0: 1000Mhz *
1786610346	79.0	1: 1500Mhz *
1786610366	67.0	0: 1000Mhz *
1786610386	75.0	1: 1500Mhz *
1786610406	70.0	0: 1000Mhz *
1786610426	68.0	0: 1000Mhz *
1786610446	67.0	0: 1000Mhz *
1786610466	80.0	1: 1500Mhz *
1786610486	73.0	1: 1500Mhz *
1786610506	68.0	0: 1000Mhz *
1786610526	89.0	1: 1500Mhz *
1786610546	89.0	1: 1500Mhz *
1786610566	69.0	0: 1000Mhz *
1786610586	70.0	0: 1000Mhz *
1786610606	67.0	0: 1000Mhz *
